N-I,CS,AMD121,AMD121A,BUMP,SR,IPP,SRO ,KPP-408,3
N-I,CS,SPLB05,SPLB05A,X2,FVP,IPP,Cu thickness,KPP-106,2
N-I,CS,SPLB05,SPLB05A,X2,FVP,IPP,Cu thickness,KPP-107,2
N-I,CS,JYK071,JYK071A,X2,FVP,IPP,Cu thickness,KPP-148,2
N-I,CS,JYK071,JYK071A,BUMP,SR,IPP,SRO ,KPP-166,3
N-I,CS,JYK071,JYK071A,BUMP,SR,IPP,SRO ,KPP-176,3
N-I,CS,JYKB57,JYKB57A,BUMP,SR,IPP,SRO ,KPP-216,3
N-I,CS,JYKB57,JYKB57A,BUMP,SR,IPP,SRT,KPP-231,4
N-I,CS,SPL870,SPL870A,X2,FVP,IPP,Cu thickness,KPP-051,2
N-I,CS,SPL870,SPL870A,X2,FVP,IPP,Cu thickness,KPP-054,2
N-I,CS,SPL870,SPL870A,X2,FVP,IPP,Cu thickness,KPP-093,2
N-I,CS,SPL870,SPL870A,X2,FVP,IPP,Cu thickness,KPP-096,2
N-I,CS,SPL870,SPL870A,X2,FVP,IPP,Cu thickness,KPP-139,2
N-I,CS,SPL870,SPL870A,X2,FVP,IPP,Cu thickness,KPP-142,2
N-I,CS,SPL870,SPL870A,X2,FVP,IPP,Cu thickness,KPP-182,2
N-I,CS,SPL870,SPL870A,X2,FVP,IPP,Cu thickness,KPP-184,2
N-I,CS,SPL870,SPL870A,X2,Litho,IPP,Line width,KPP-223,1
N-I,CS,SPL870,SPL870A,OPEN,Litho,IPP,Line width,KPP-223,1
N-I,CS,SPL870,SPL870A,X2,Litho,IPP,Line width,KPP-225,1
N-I,CS,SPL870,SPL870A,OPEN,Litho,IPP,Line width,KPP-225,1
N-I,CS,SPL870,SPL870A,X2,FVP,IPP,Cu thickness,KPP-229,2
N-I,CS,SPL870,SPL870A,X2,FVP,IPP,Cu thickness,KPP-231,2
N-I,CS,SPL870,SPL870A,BUMP,SR,IPP,SRO ,KPP-291,3
N-I,CS,SPL870,SPL870A,BUMP,SR,IPP,SRO ,KPP-302,3
N-I,CS,SPL870,SPL870A,BUMP,SR,IPP,SRT,KPP-303,4
N-I,CS,SPL870,SPL870A,BUMP,SR,IPP,SRO ,KPP-320,3
N-I,CS,SPL870,SPL870A,BUMP,SR,IPP,SRO ,KPP-321,3
N-I,CS,SPL870,SPL870A,BUMP,SR,IPP,SRO ,KPP-327,3
N-I,CS,SPL870,SPL870A,BUMP,SR,IPP,SRO ,KPP-328,3
